timestamp,email,check1,check2,check3,check4,check5,check6
28/07/2023,makingsureitsokay@dddd.com,on,,,on,on,
28/07/2023,help!helpME@ggg.com,on,,,,,on
28/07/2023,rr@rr.com,on,,on,,,
28/07/2023,test@test2.com,on,,,,,
28/07/2023,empty@empty.com,on,,,on,,
28/07/2023,funnyemail@email.com,on,,,,,
28/07/2023,ecu@gmail.com,on,,on,,on,
29/07/2023,ecu@gmail.com,,,,,,on
30/07/2023,ecu@gmail.com,,,on,,,
31/07/2023,ecu@gmail.com,on,,on,,on,
01/08/2023,ecu@gmail.com,,,,,on,
02/08/2023,ecu@gmail.com,,on,on,,,on
